Transaction Description,Main Category,Subcategory
Salary Payment,Expense,Salaries & Wages
Office Chairs Purchase,Expense,Supplies
Client Payment Invoice #104,Revenue,Service
Snacks for Office,Expense,Office Supplies
Client Payment Invoice #105,Revenue,Sales Income
Freelancer Payment,Expense,Consulting
Sale of Service Package,Revenue,Service Income
Printer Ink Purchase,Expense,Office Supplies
Marketing Campaign,Expense,Marketing
Product sale,Revenue,Sales Income
Office Rent Payment,Expense,Rent
Service Revenue,Revenue,Service Income
Customer Payment,Revenue,Sales Income
Electricity Bill Payment,Expense,Utilities
Equipment Purchase,Uncategorized,Uncategorized
Loan from Bank,Liability,Loan
Owner Investment,Equity,Owner's Equity
Consulting Revenue,Revenue,Service Income
Internet Bill Payment,Expense,Utilities
Product Sale,Revenue,Sales Income
Salaries Payment,Expense,Salaries
Office Furniture Purchase,Asset,Furniture
Payment from Client – Alpha Traders,Revenue,General Income
JazzCash Withdrawal,Expense,Bank Debit / Outgoing
Office Rent – February,Expense,Rent / Lease
Received Payment – Online Store,Revenue,General Income
Internet Bill – PTCL,Expense,Internet / ISP
Payment to Supplier – Global Tech Supplies,Expense,Vendor / Supplier Payment
Bank Deposit – Cash Sales,Expense,Bank Debit / Outgoing
Fuel Expense – Team Visit,Expense,Vendor / Supplier Payment
Received Payment – Client Invoice 229,Revenue,General Income
Utility Bill – Electricity,Expense,Utility bill
Software Subscription – Canva Pro,Expense,Software / Subscription
Lunch Meeting with Client,Expense,Food / Beverage / Meals
Payment from Customer – Cash,Revenue,General Income
Mobile Bill – Zong,Uncategorized,Uncategorized
Purchase – Packaging Material,Expense,Vendor / Supplier Payment
Customer Refund,Revenue,Refund / Cashback
Payment from Corporate Client,Revenue,General Income
Staff Salary – February,Expense,Payroll / Salary
Facebook Ads – Campaign,Expense,Advertising / Marketing
Bank Fee,Expense,Vendor / Supplier Payment
google*workspace,Expense,Miscellaneous
shell petrol pump,Expense,Miscellaneous
client 2205 online pay,Revenue,Client Payment
bank charge,Expense,Miscellaneous
client 2208 transfer,Revenue,Client Payment
cleaning service,Expense,Miscellaneous
facebook ads,Expense,Miscellaneous
printer ink,Expense,Miscellaneous
google ads,Expense,Miscellaneous
website hosting,Expense,Miscellaneous
travel expense,Expense,Miscellaneous
lunch with client,Expense,Miscellaneous
office furniture,Expense,Miscellaneous
consulting fee paid,Expense,Miscellaneous
lunch expense,Expense,Miscellaneous
printer paper,Expense,Miscellaneous
supplier invoice,Expense,Miscellaneous
loan repayment,Revenue,Client Payment
stationary,Expense,Miscellaneous
no description,Expense,Miscellaneous
accounting service fee,Expense,Miscellaneous
loan installment payment,Revenue,Client Payment
commission income,Expense,Miscellaneous
courier charges,Expense,Miscellaneous
travel reimbursement,Expense,Miscellaneous
freight & shipping expense,Expense,Miscellaneous
security services payment,Revenue,Client Payment
consulting services revenue,Expense,Miscellaneous
maintenance & repairs,Expense,Miscellaneous
hardware repair,Expense,Miscellaneous
cloud services,Expense,Miscellaneous
courier service,Expense,Miscellaneous
restaurant meeting,Expense,Miscellaneous
consulting income,Expense,Miscellaneous
transport charges,Expense,Miscellaneous
credit card reward,Expense,Miscellaneous
Office Supplies Purchase,Expense,Office / Supplies / Equipment
Client Payment,Revenue,Client Payment
Coffee Purchase,Expense,Food / Beverage
Website Hosting,Expense,Miscellaneous
Office Rent,Expense,Utilities / Rent
Internet Bill,Expense,Utilities / Rent
Client Payment,Revenue,Client Payment
Stationery Purchase,Expense,Retail / POS
Travel Expense,Expense,Miscellaneous
Lunch with Client,Expense,Miscellaneous
Software Subscription,Expense,Subscription / Membership
Client Refund,Expense,Refund / Reversal
Electricity Bill,Expense,Utilities / Rent
Office Cleaning,Expense,Utilities / Rent
Client Payment,Revenue,Client Payment
Printer Ink,Expense,Miscellaneous
Travel Expense,Expense,Miscellaneous
Client Payment,Revenue,Client Payment
Office Furniture,Expense,Miscellaneous
Consulting Fee Paid,Expense,Miscellaneous
Lunch Expense,Expense,Miscellaneous
Client Payment,Revenue,Client Payment
Office Supplies Purchase,Expense,Office / Supplies / Equipment
Travel Expense,Expense,Miscellaneous
Client Payment,Revenue,Client Payment
Electricity Bill,Expense,Utilities / Rent
Software Subscription,Expense,Subscription / Membership
Client Refund,Expense,Refund / Reversal
Office Cleaning,Expense,Utilities / Rent
Client Payment,Revenue,Client Payment
Printer Paper,Expense,Miscellaneous
Travel Expense,Expense,Miscellaneous
Office Furniture,Expense,Miscellaneous
Client Payment,Revenue,Client Payment
Lunch Expense,Expense,Miscellaneous
Consulting Fee Paid,Expense,Miscellaneous
Client Payment,Revenue,Client Payment
Office Supplies Purchase,Expense,Office / Supplies / Equipment
Travel Expense,Expense,Miscellaneous
Client Payment,Revenue,Client Payment
Office Cleaning,Expense,Utilities / Rent
Client Refund,Expense,Refund / Reversal
Client Payment,Revenue,Client Payment
Travel Expense,Expense,Miscellaneous
Office Furniture,Expense,Miscellaneous
Lunch Expense,Expense,Miscellaneous
Office Supplies Purchase,Expense,Office / Supplies / Equipment
Travel Expense,Expense,Miscellaneous
Client Payment,Revenue,Client Payment
Electricity Bill,Expense,Utilities / Rent
amazon mktplace pmts amzn,Expense,Miscellaneous
credit - client a,Expense,Miscellaneous
debit - supplier x,Expense,Miscellaneous
fuel expense,Expense,Uncategorized
bonus payout,Expense,Uncategorized
client payment received,Revenue,Client Payment
bank fee monthly,Expense,Miscellaneous
freshbooks monthly,Expense,Miscellaneous
tcs delivery charge,Expense,Miscellaneous
bank transfer received,Revenue,Client Payment
acct transfer credit client 2201,Expense,Misc Payment / Bill (2201)
hostgator web hosting,Expense,Miscellaneous
facebk ads 483920,Expense,Misc Payment / Bill (483920)
zoho corp bill,Expense,Miscellaneous
pso filling station,Expense,Miscellaneous
paypal payment 39201,Expense,Misc Payment / Bill (39201)
online transfer client 2203,Expense,Misc Payment / Bill (2203)
foodpanda order,Expense,Miscellaneous
web dev payment 9482,Expense,Misc Payment / Bill (9482)
paypal payment 55402,Expense,Misc Payment / Bill (55402)
printing center 331,Expense,Misc Payment / Bill (331)
client payment 2206,Expense,Misc Payment / Bill (2206)
api tool payment,Revenue,Client Payment
paypal client 88430,Expense,Misc Payment / Bill (88430)
wordpress plugin,Expense,Miscellaneous
food delivery 3381,Expense,Misc Payment / Bill (3381)
zoom.us,Expense,Miscellaneous
amzn office items,Expense,Miscellaneous
rent pmt online,Expense,Miscellaneous
credit card cashback,Revenue,Client Payment
naheed mart snacks,Expense,Miscellaneous
employee bonus,Expense,Miscellaneous
pso fuel,Expense,Miscellaneous
EQUIPMENT REPAIR LN985,Expense,Equipment / Repairs
SUPPLIES WORLD 3321,Expense,Office Supplies / Materials
